Name,Speed,Module,First Word Latency,CAS Latency,Price Per GB,Color,Rating,Review Count,Price_2018_01,Price_2018_02,Price_2018_03,Price_2018_04,Price_2018_05,Price_2018_06,Price_2018_07,Price_2018_08,Price_2018_09,Price_2018_10,Price_2018_11,Price_2018_12,Price_2019_01,Price_2019_02,Price_2019_03,Price_2019_04,Price_2019_05,Price_2019_06,Price_2019_07,Price_2019_08,Price_2019_09,Price_2019_10,Price_2019_11,Price_2019_12,Price_2020_01,Price_2020_02,Price_2020_03,Price_2020_04,Price_2020_05,Price_2020_06,Price_2020_07,Price_2020_08,Price_2020_09,Price_2020_10,Price_2020_11,Price_2020_12,Price_2021_01,Price_2021_02,Price_2021_03,Price_2021_04,Price_2021_05,Price_2021_06,Price_2021_07,Price_2021_08,Price_2021_09,Price_2021_10,Price_2021_11,Price_2021_12,Price_2022_01,Price_2022_02,Price_2022_03,Price_2022_04,Price_2022_05,Price_2022_06,Price_2022_07,Price_2022_08,Price_2022_09,Price_2022_10,Price_2022_11,Price_2022_12,Price_2023_01,Price_2023_02,Price_2023_03,Price_2023_04,Price_2023_05,Price_2023_06,Price_2023_07,Price_2023_08,Price_2023_09,Price_2023_10,Price_2023_11,Price_2023_12,Price_2024_01,Price_2024_02,Price_2024_03,Price_2024_04,Price_2024_05,Price_2024_06,Price_2024_07,Price_2024_08,Price_2024_09,Price_2024_10,Price_2024_11,Price_2024_12,Price_2025_01,Price_2025_02,Price_2025_03,Price_2025_04,Price_2025_05,Price_2025_06,Price_2025_07,Price_2025_08,Price_2025_09,Price_2025_10,Price_2025_11,Price_2025_12,Price_2026_01,Price_2026_02,Price_Current_2026_2_18
Corsair Vengeance 192 GB,DDR5-5200,4 x 48GB,14.615 ns,38,$11.47,Black,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,504.97","$5,504.97","$5,321.48","$5,137.98","$4,954.48","$4,770.98","$4,587.48","$4,403.98","$4,220.48","$4,036.98","$3,853.48","$3,669.98","$3,486.48","$3,302.98","$3,174.54","$3,046.09","$2,917.64","$2,789.19","$2,660.74","$2,532.29","$2,403.84","$2,275.39","$2,146.94","$2,018.49","$1,890.04","$1,761.59","$1,706.54","$1,651.49","$1,596.44","$1,541.39","$1,486.34","$1,431.29","$1,376.24","$1,321.19","$1,266.14","$1,211.09","$1,156.04","$1,100.99","$1,137.69","$1,174.39","$1,211.09","$1,247.79","$1,284.49","$1,871.69","$1,926.74","$1,981.79","$2,036.84",$924.84,"$1,497.35","$2,201.99","$2,796.53","$2,620.37","$2,620.37"
Crucial Pro 96 GB,DDR5-5600,2 x 48GB,16.429 ns,46,$8.23,Black,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,975.00","$1,975.00","$1,909.17","$1,843.33","$1,777.50","$1,711.67","$1,645.83","$1,580.00","$1,514.17","$1,448.33","$1,382.50","$1,316.67","$1,250.83","$1,185.00","$1,138.92","$1,092.83","$1,046.75","$1,000.67",$954.58,$908.50,$862.42,$816.33,$770.25,$724.17,$678.08,$632.00,$612.25,$592.50,$572.75,$553.00,$533.25,$513.50,$493.75,$474.00,$454.25,$434.50,$414.75,$395.00,$408.17,$421.33,$434.50,$447.67,$460.83,$671.50,$691.25,$711.00,$730.75,$331.80,$537.20,$790.00,"$1,003.30",$940.10,$940.10
Crucial CT2K16G4DFRA32A 32 GB,DDR4-3200,2 x 16GB,13.75 ns,22,$6.00,Green / Black,5.0,2,$270.39,$271.99,$273.59,$275.19,$276.79,$278.39,$279.99,$281.59,$283.19,$284.79,$286.39,$287.99,$239.99,$230.39,$220.79,$211.19,$201.59,$191.99,$182.39,$172.79,$163.19,$153.59,$143.99,$134.39,$116.79,$118.39,$119.99,$121.59,$123.19,$124.79,$126.39,$127.99,$129.59,$131.19,$132.79,$134.39,$137.59,$140.79,$143.99,$147.19,$150.39,$153.59,$156.79,$159.99,$163.19,$166.39,$169.59,$172.79,$167.99,$163.19,$158.39,$153.59,$148.79,$143.99,$139.19,$134.39,$129.59,$124.79,$119.99,$115.19,$111.99,$108.79,$105.59,$102.39,$99.19,$96.00,$92.80,$89.60,$86.40,$83.20,$80.00,$76.80,$78.40,$80.00,$81.60,$83.20,$84.80,$86.40,$88.00,$89.60,$91.20,$92.80,$94.40,$96.00,$99.19,$102.39,$105.59,$108.79,$111.99,$163.19,$167.99,$172.79,$177.59,$80.64,$130.55,$191.99,$280.31,$307.18,$278.39
Corsair Vengeance RGB 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$13.81,White / Silver,4.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,104.97","$1,104.97","$1,068.14","$1,031.31",$994.48,$957.64,$920.81,$883.98,$847.15,$810.32,$773.48,$736.65,$699.82,$662.99,$637.20,$611.42,$585.64,$559.85,$534.07,$508.29,$482.51,$456.72,$430.94,$405.16,$379.37,$353.59,$342.54,$331.49,$320.44,$309.39,$298.34,$287.29,$276.24,$265.19,$254.14,$243.09,$232.04,$221.00,$228.36,$235.73,$243.09,$250.46,$257.83,$375.69,$386.74,$397.79,$408.84,$185.64,$300.55,$441.99,$561.33,$525.97,$439.99
G.Skill Trident Z5 RGB 128 GB,DDR5-6400,2 x 64GB,11.25 ns,36,$11.88,Black,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,799.97","$3,799.97","$3,673.31","$3,546.64","$3,419.98","$3,293.31","$3,166.65","$3,039.98","$2,913.31","$2,786.65","$2,659.98","$2,533.32","$2,406.65","$2,279.99","$2,191.32","$2,102.65","$2,013.99","$1,925.32","$1,836.65","$1,747.99","$1,659.32","$1,570.66","$1,481.99","$1,393.32","$1,304.66","$1,215.99","$1,177.99","$1,139.99","$1,101.99","$1,063.99","$1,025.99",$987.99,$949.99,$911.99,$873.99,$835.99,$797.99,$760.00,$785.33,$810.66,$835.99,$861.33,$886.66,"$1,291.99","$1,329.99","$1,367.99","$1,405.99",$638.40,"$1,033.59","$1,519.99","$1,930.39","$1,808.79","$1,808.79"
Corsair Vengeance RGB Pro SL 32 GB,DDR4-3200,2 x 16GB,10 ns,16,$5.84,White / Black,4.5,4,$263.34,$264.90,$266.46,$268.02,$269.58,$271.14,$272.69,$274.25,$275.81,$277.37,$278.93,$280.49,$233.74,$224.39,$215.04,$205.69,$196.34,$186.99,$177.64,$168.29,$158.94,$149.59,$140.24,$130.89,$113.75,$115.31,$116.87,$118.43,$119.99,$121.54,$123.10,$124.66,$126.22,$127.78,$129.33,$130.89,$134.01,$137.13,$140.24,$143.36,$146.48,$149.59,$152.71,$155.82,$158.94,$162.06,$165.17,$168.29,$163.62,$158.94,$154.27,$149.59,$144.92,$140.24,$135.57,$130.89,$126.22,$121.54,$116.87,$112.19,$109.08,$105.96,$102.84,$99.73,$96.61,$93.50,$90.38,$87.26,$84.15,$81.03,$77.91,$74.80,$76.35,$77.91,$79.47,$81.03,$82.59,$84.15,$85.70,$87.26,$88.82,$90.38,$91.94,$93.50,$96.61,$99.73,$102.84,$105.96,$109.08,$158.94,$163.62,$168.29,$172.97,$78.54,$127.15,$186.99,$273.01,$299.18,$271.14
Corsair Vengeance RGB 32 GB,DDR5-5200,2 x 16GB,15.385 ns,40,$12.53,White,4.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,002.48","$1,002.48",$969.06,$935.64,$902.23,$868.81,$835.40,$801.98,$768.56,$735.15,$701.73,$668.32,$634.90,$601.49,$578.09,$554.70,$531.31,$507.92,$484.53,$461.14,$437.75,$414.36,$390.97,$367.57,$344.18,$320.79,$310.77,$300.74,$290.72,$280.69,$270.67,$260.64,$250.62,$240.59,$230.57,$220.54,$210.52,$200.50,$207.18,$213.86,$220.54,$227.23,$233.91,$340.84,$350.87,$360.89,$370.92,$168.42,$272.67,$400.99,$509.26,$477.18,$439.99
Corsair Vengeance RGB 64 GB,DDR5-6400,2 x 32GB,10 ns,32,$14.16,Black / Gray,4.5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,264.97","$2,264.97","$2,189.48","$2,113.98","$2,038.48","$1,962.98","$1,887.48","$1,811.98","$1,736.48","$1,660.98","$1,585.48","$1,509.98","$1,434.48","$1,358.99","$1,306.14","$1,253.29","$1,200.44","$1,147.59","$1,094.74","$1,041.89",$989.04,$936.19,$883.34,$830.49,$777.64,$724.79,$702.14,$679.49,$656.84,$634.19,$611.54,$588.89,$566.24,$543.59,$520.94,$498.29,$475.64,$453.00,$468.09,$483.19,$498.29,$513.39,$528.49,$770.09,$792.74,$815.39,$838.04,$380.52,$616.07,$905.99,"$1,150.61","$1,078.13","$1,078.13"
Crucial CT32G56C46U5 32 GB,DDR5-5600,1 x 32GB,16.429 ns,46,,Black,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$704.98,$704.98,$681.48,$657.98,$634.48,$610.98,$587.48,$563.98,$540.48,$516.98,$493.48,$469.98,$446.48,$422.99,$406.54,$390.09,$373.64,$357.19,$340.74,$324.29,$307.84,$291.39,$274.94,$258.49,$242.04,$225.59,$218.54,$211.49,$204.44,$197.39,$190.34,$183.29,$176.24,$169.19,$162.14,$155.09,$148.04,$141.00,$145.69,$150.39,$155.09,$159.79,$164.49,$239.69,$246.74,$253.79,$260.84,$118.44,$191.75,$281.99,$358.13,$335.57,$335.57
Timetec PINNACLE Konduit 16 GB,DDR4-3200,2 x 8GB,10 ns,16,$7.31,White,4.0,5,$164.76,$165.74,$166.71,$167.69,$168.66,$169.64,$170.61,$171.59,$172.56,$173.54,$174.51,$175.48,$146.24,$140.39,$134.54,$128.69,$122.84,$116.99,$111.14,$105.29,$99.44,$93.59,$87.74,$81.89,$71.17,$72.14,$73.12,$74.09,$75.07,$76.04,$77.02,$77.99,$78.97,$79.94,$80.92,$81.89,$83.84,$85.79,$87.74,$89.69,$91.64,$93.59,$95.54,$97.49,$99.44,$101.39,$103.34,$105.29,$102.37,$99.44,$96.52,$93.59,$90.67,$87.74,$84.82,$81.89,$78.97,$76.04,$73.12,$70.19,$68.24,$66.29,$64.34,$62.39,$60.44,$58.49,$56.55,$54.60,$52.65,$50.70,$48.75,$46.80,$47.77,$48.75,$49.72,$50.70,$51.67,$52.65,$53.62,$54.60,$55.57,$56.55,$57.52,$58.49,$60.44,$62.39,$64.34,$66.29,$68.24,$99.44,$102.37,$105.29,$108.22,$49.14,$79.55,$116.99,$170.81,$187.18,$169.64
Corsair Dominator Titanium 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$14.97,Black,5.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,197.47","$1,197.47","$1,157.56","$1,117.64","$1,077.73","$1,037.81",$997.90,$957.98,$918.06,$878.15,$838.23,$798.32,$758.40,$718.49,$690.54,$662.60,$634.66,$606.72,$578.78,$550.84,$522.90,$494.96,$467.02,$439.07,$411.13,$383.19,$371.22,$359.24,$347.27,$335.29,$323.32,$311.34,$299.37,$287.39,$275.42,$263.44,$251.47,$239.50,$247.48,$255.46,$263.44,$271.43,$279.41,$407.14,$419.12,$431.09,$443.07,$201.18,$325.71,$478.99,$608.32,$570.00,$570.00
V-Color Manta XSky RGB 32 GB,DDR5-6000,2 x 16GB,12 ns,36,$10.94,Black,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$874.98,$874.98,$845.81,$816.64,$787.48,$758.31,$729.15,$699.98,$670.81,$641.65,$612.48,$583.32,$554.15,$524.99,$504.57,$484.15,$463.74,$443.32,$422.90,$402.49,$382.07,$361.66,$341.24,$320.82,$300.41,$279.99,$271.24,$262.49,$253.74,$244.99,$236.24,$227.49,$218.74,$209.99,$201.24,$192.49,$183.74,$175.00,$180.83,$186.66,$192.49,$198.33,$204.16,$297.49,$306.24,$314.99,$323.74,$147.00,$237.99,$349.99,$444.49,$416.49,$416.49
Kingston FURY Beast 8 GB,DDR5-5200,1 x 8GB,15.385 ns,40,$9.87,Black,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$197.45,$197.45,$190.87,$184.29,$177.71,$171.12,$164.54,$157.96,$151.38,$144.80,$138.22,$131.63,$125.05,$118.47,$113.86,$109.26,$104.65,$100.04,$95.43,$90.83,$86.22,$81.61,$77.01,$72.40,$67.79,$63.18,$61.21,$59.23,$57.26,$55.29,$53.31,$51.34,$49.36,$47.39,$45.41,$43.44,$41.46,$39.49,$40.81,$42.12,$43.44,$44.76,$46.07,$67.13,$69.11,$71.08,$73.06,$33.17,$53.71,$78.98,$100.30,$93.99,$93.99
Samsung M378A1K43CB2-CRC 8 GB,DDR4-2400,1 x 8GB,14.167 ns,17,$5.87,Green,4.0,6,$66.18,$66.57,$66.96,$67.35,$67.74,$68.14,$68.53,$68.92,$69.31,$69.70,$70.09,$70.48,$58.74,$56.39,$54.04,$51.69,$49.34,$46.99,$44.64,$42.29,$39.94,$37.59,$35.24,$32.89,$28.59,$28.98,$29.37,$29.76,$30.15,$30.54,$30.94,$31.33,$31.72,$32.11,$32.50,$32.89,$33.68,$34.46,$35.24,$36.03,$36.81,$37.59,$38.38,$39.16,$39.94,$40.72,$41.51,$42.29,$41.12,$39.94,$38.77,$37.59,$36.42,$35.24,$34.07,$32.89,$31.72,$30.54,$29.37,$28.19,$27.41,$26.63,$25.84,$25.06,$24.28,$23.50,$22.71,$21.93,$21.15,$20.36,$19.58,$18.80,$19.19,$19.58,$19.97,$20.36,$20.75,$21.15,$21.54,$21.93,$22.32,$22.71,$23.10,$23.50,$24.28,$25.06,$25.84,$26.63,$27.41,$39.94,$41.12,$42.29,$43.47,$19.74,$31.95,$46.99,$68.61,$75.18,$68.14
Corsair Vengeance RGB Pro SL 32 GB,DDR4-3200,2 x 16GB,10 ns,16,$5.84,Black,4.5,5,$263.34,$264.90,$266.46,$268.02,$269.58,$271.14,$272.69,$274.25,$275.81,$277.37,$278.93,$280.49,$233.74,$224.39,$215.04,$205.69,$196.34,$186.99,$177.64,$168.29,$158.94,$149.59,$140.24,$130.89,$113.75,$115.31,$116.87,$118.43,$119.99,$121.54,$123.10,$124.66,$126.22,$127.78,$129.33,$130.89,$134.01,$137.13,$140.24,$143.36,$146.48,$149.59,$152.71,$155.82,$158.94,$162.06,$165.17,$168.29,$163.62,$158.94,$154.27,$149.59,$144.92,$140.24,$135.57,$130.89,$126.22,$121.54,$116.87,$112.19,$109.08,$105.96,$102.84,$99.73,$96.61,$93.50,$90.38,$87.26,$84.15,$81.03,$77.91,$74.80,$76.35,$77.91,$79.47,$81.03,$82.59,$84.15,$85.70,$87.26,$88.82,$90.38,$91.94,$93.50,$96.61,$99.73,$102.84,$105.96,$109.08,$158.94,$163.62,$168.29,$172.97,$78.54,$127.15,$186.99,$273.01,$299.18,$271.14
Corsair Vengeance RGB 32 GB,DDR5-5200,2 x 16GB,15.385 ns,40,$12.53,Black,4.5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,002.48","$1,002.48",$969.06,$935.64,$902.23,$868.81,$835.40,$801.98,$768.56,$735.15,$701.73,$668.32,$634.90,$601.49,$578.09,$554.70,$531.31,$507.92,$484.53,$461.14,$437.75,$414.36,$390.97,$367.57,$344.18,$320.79,$310.77,$300.74,$290.72,$280.69,$270.67,$260.64,$250.62,$240.59,$230.57,$220.54,$210.52,$200.50,$207.18,$213.86,$220.54,$227.23,$233.91,$340.84,$350.87,$360.89,$370.92,$168.42,$272.67,$400.99,$509.26,$477.18,$439.99
Patriot Signature Line 16 GB,DDR5-4800,1 x 16GB,16.667 ns,40,$11.19,Black,4.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$447.48,$447.48,$432.56,$417.64,$402.73,$387.81,$372.90,$357.98,$343.06,$328.15,$313.23,$298.32,$283.40,$268.49,$258.04,$247.60,$237.16,$226.72,$216.28,$205.84,$195.40,$184.96,$174.52,$164.07,$153.63,$143.19,$138.72,$134.24,$129.77,$125.29,$120.82,$116.34,$111.87,$107.39,$102.92,$98.44,$93.97,$89.50,$92.48,$95.46,$98.44,$101.43,$104.41,$152.14,$156.62,$161.09,$165.57,$75.18,$121.71,$178.99,$227.32,$213.00,$213.00
G.Skill Trident Z5 RGB 64 GB,DDR5-6800,2 x 32GB,10 ns,34,$14.84,Black,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,374.97","$2,374.97","$2,295.81","$2,216.64","$2,137.48","$2,058.31","$1,979.15","$1,899.98","$1,820.81","$1,741.65","$1,662.48","$1,583.32","$1,504.15","$1,424.99","$1,369.57","$1,314.15","$1,258.74","$1,203.32","$1,147.90","$1,092.49","$1,037.07",$981.66,$926.24,$870.82,$815.41,$759.99,$736.24,$712.49,$688.74,$664.99,$641.24,$617.49,$593.74,$569.99,$546.24,$522.49,$498.74,$475.00,$490.83,$506.66,$522.49,$538.33,$554.16,$807.49,$831.24,$854.99,$878.74,$399.00,$645.99,$949.99,"$1,206.49","$1,130.49","$1,130.49"
OLOy MD4U082619BBSA 8 GB,DDR4-2666,1 x 8GB,14.254 ns,19,$4.87,Red / Black,0.0,0,$54.91,$55.24,$55.56,$55.89,$56.21,$56.54,$56.86,$57.19,$57.51,$57.84,$58.16,$58.48,$48.74,$46.79,$44.84,$42.89,$40.94,$38.99,$37.04,$35.09,$33.14,$31.19,$29.24,$27.29,$23.72,$24.04,$24.37,$24.69,$25.02,$25.34,$25.67,$25.99,$26.32,$26.64,$26.97,$27.29,$27.94,$28.59,$29.24,$29.89,$30.54,$31.19,$31.84,$32.49,$33.14,$33.79,$34.44,$35.09,$34.12,$33.14,$32.17,$31.19,$30.22,$29.24,$28.27,$27.29,$26.32,$25.34,$24.37,$23.39,$22.74,$22.09,$21.44,$20.79,$20.14,$19.50,$18.85,$18.20,$17.55,$16.90,$16.25,$15.60,$15.92,$16.25,$16.57,$16.90,$17.22,$17.55,$17.87,$18.20,$18.52,$18.85,$19.17,$19.50,$20.14,$20.79,$21.44,$22.09,$22.74,$33.14,$34.12,$35.09,$36.07,$16.38,$26.51,$38.99,$56.93,$62.38,$56.54
Corsair Vengeance 32 GB,DDR5-4800,2 x 16GB,16.667 ns,40,$12.16,Black,4.5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$972.48,$972.48,$940.06,$907.64,$875.23,$842.81,$810.40,$777.98,$745.56,$713.15,$680.73,$648.32,$615.90,$583.49,$560.79,$538.10,$515.41,$492.72,$470.03,$447.34,$424.65,$401.96,$379.27,$356.57,$333.88,$311.19,$301.47,$291.74,$282.02,$272.29,$262.57,$252.84,$243.12,$233.39,$223.67,$213.94,$204.22,$194.50,$200.98,$207.46,$213.94,$220.43,$226.91,$330.64,$340.37,$350.09,$359.82,$163.38,$264.51,$388.99,$494.02,$462.90,$462.90
Kingston FURY Beast 64 GB,DDR5-6000,2 x 32GB,12 ns,36,$10.78,Black / Silver,5.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,724.97","$1,724.97","$1,667.48","$1,609.98","$1,552.48","$1,494.98","$1,437.48","$1,379.98","$1,322.48","$1,264.98","$1,207.48","$1,149.98","$1,092.48","$1,034.99",$994.74,$954.49,$914.24,$873.99,$833.74,$793.49,$753.24,$712.99,$672.74,$632.49,$592.24,$551.99,$534.74,$517.49,$500.24,$482.99,$465.74,$448.49,$431.24,$413.99,$396.74,$379.49,$362.24,$345.00,$356.49,$367.99,$379.49,$390.99,$402.49,$586.49,$603.74,$620.99,$638.24,$289.80,$469.19,$689.99,$876.29,$821.09,$821.09
Corsair Vengeance RGB 96 GB,DDR5-6000,2 x 48GB,10 ns,30,$11.77,Black / Silver,5.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,824.88","$2,824.88","$2,730.71","$2,636.55","$2,542.39","$2,448.22","$2,354.06","$2,259.90","$2,165.74","$2,071.58","$1,977.41","$1,883.25","$1,789.09","$1,694.93","$1,629.01","$1,563.10","$1,497.18","$1,431.27","$1,365.36","$1,299.44","$1,233.53","$1,167.62","$1,101.70","$1,035.79",$969.87,$903.96,$875.71,$847.46,$819.21,$790.97,$762.72,$734.47,$706.22,$677.97,$649.72,$621.47,$593.22,$564.98,$583.81,$602.64,$621.47,$640.31,$659.14,$960.46,$988.71,"$1,016.95","$1,045.20",$474.58,$768.37,"$1,129.95","$1,435.04","$1,344.64","$1,344.64"
Corsair Vengeance 128 GB,DDR5-5600,4 x 32GB,14.286 ns,40,$13.59,Black,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,347.48","$4,347.48","$4,202.56","$4,057.64","$3,912.73","$3,767.81","$3,622.90","$3,477.98","$3,333.06","$3,188.15","$3,043.23","$2,898.32","$2,753.40","$2,608.49","$2,507.04","$2,405.60","$2,304.16","$2,202.72","$2,101.28","$1,999.84","$1,898.40","$1,796.96","$1,695.52","$1,594.07","$1,492.63","$1,391.19","$1,347.72","$1,304.24","$1,260.77","$1,217.29","$1,173.82","$1,130.34","$1,086.87","$1,043.39",$999.92,$956.44,$912.97,$869.50,$898.48,$927.46,$956.44,$985.43,"$1,014.41","$1,478.14","$1,521.62","$1,565.09","$1,608.57",$730.38,"$1,182.51","$1,738.99","$2,208.52","$2,069.40","$2,069.40"
Corsair Vengeance LPX 32 GB,DDR4-3200,4 x 8GB,10 ns,16,$6.84,Black / Yellow,4.5,8,$308.41,$310.24,$312.06,$313.89,$315.71,$317.54,$319.36,$321.19,$323.01,$324.84,$326.66,$328.49,$273.74,$262.79,$251.84,$240.89,$229.94,$218.99,$208.04,$197.09,$186.14,$175.19,$164.24,$153.29,$133.22,$135.04,$136.87,$138.69,$140.52,$142.34,$144.17,$145.99,$147.82,$149.64,$151.47,$153.29,$156.94,$160.59,$164.24,$167.89,$171.54,$175.19,$178.84,$182.49,$186.14,$189.79,$193.44,$197.09,$191.62,$186.14,$180.67,$175.19,$169.72,$164.24,$158.77,$153.29,$147.82,$142.34,$136.87,$131.39,$127.74,$124.09,$120.44,$116.79,$113.14,$109.50,$105.85,$102.20,$98.55,$94.90,$91.25,$87.60,$89.42,$91.25,$93.07,$94.90,$96.72,$98.55,$100.37,$102.20,$104.02,$105.85,$107.67,$109.50,$113.14,$116.79,$120.44,$124.09,$127.74,$186.14,$191.62,$197.09,$202.57,$91.98,$148.91,$218.99,$319.73,$350.38,$269.00
PNY XLR8 32 GB,DDR4-3200,2 x 16GB,10 ns,16,,Black / Red,5.0,3,$168.99,$169.99,$170.99,$171.99,$172.99,$173.99,$174.99,$175.99,$176.99,$177.99,$178.99,$179.98,$149.99,$143.99,$137.99,$131.99,$125.99,$119.99,$113.99,$107.99,$101.99,$95.99,$89.99,$83.99,$72.99,$73.99,$74.99,$75.99,$76.99,$77.99,$78.99,$79.99,$80.99,$81.99,$82.99,$83.99,$85.99,$87.99,$89.99,$91.99,$93.99,$95.99,$97.99,$99.99,$101.99,$103.99,$105.99,$107.99,$104.99,$101.99,$98.99,$95.99,$92.99,$89.99,$86.99,$83.99,$80.99,$77.99,$74.99,$71.99,$69.99,$67.99,$65.99,$63.99,$61.99,$59.99,$58.00,$56.00,$54.00,$52.00,$50.00,$48.00,$49.00,$50.00,$51.00,$52.00,$53.00,$54.00,$55.00,$56.00,$57.00,$58.00,$59.00,$59.99,$61.99,$63.99,$65.99,$67.99,$69.99,$101.99,$104.99,$107.99,$110.99,$50.40,$81.59,$119.99,$175.19,$191.98,$173.99
TEAMGROUP T-Create Expert 32 GB,DDR5-6000,2 x 16GB,12.667 ns,38,$13.41,Black,5.0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,072.47","$1,072.47","$1,036.73","$1,000.98",$965.23,$929.48,$893.73,$857.98,$822.23,$786.48,$750.73,$714.98,$679.23,$643.49,$618.46,$593.44,$568.41,$543.39,$518.36,$493.34,$468.31,$443.29,$418.27,$393.24,$368.22,$343.19,$332.47,$321.74,$311.02,$300.29,$289.57,$278.84,$268.12,$257.39,$246.67,$235.94,$225.22,$214.50,$221.64,$228.79,$235.94,$243.09,$250.24,$364.64,$375.37,$386.09,$396.82,$180.18,$291.71,$428.99,$544.82,$510.50,$510.50
Kingston FURY Renegade 32 GB,DDR5-6400,2 x 16GB,10 ns,32,$28.24,Silver / Black,5.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,258.95","$2,258.95","$2,183.65","$2,108.35","$2,033.06","$1,957.76","$1,882.46","$1,807.16","$1,731.86","$1,656.56","$1,581.27","$1,505.97","$1,430.67","$1,355.37","$1,302.66","$1,249.95","$1,197.24","$1,144.53","$1,091.83","$1,039.12",$986.41,$933.70,$880.99,$828.28,$775.57,$722.86,$700.27,$677.69,$655.10,$632.51,$609.92,$587.33,$564.74,$542.15,$519.56,$496.97,$474.38,$451.79,$466.85,$481.91,$496.97,$512.03,$527.09,$768.04,$790.63,$813.22,$835.81,$379.50,$614.43,$903.58,"$1,147.55","$1,075.26","$1,075.26"
Corsair Vengeance 64 GB,DDR5-6400,2 x 32GB,10 ns,32,$14.02,Black / Gray,4.5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,242.47","$2,242.47","$2,167.73","$2,092.98","$2,018.23","$1,943.48","$1,868.73","$1,793.98","$1,719.23","$1,644.48","$1,569.73","$1,494.98","$1,420.23","$1,345.49","$1,293.16","$1,240.84","$1,188.51","$1,136.19","$1,083.86","$1,031.54",$979.21,$926.89,$874.57,$822.24,$769.92,$717.59,$695.17,$672.74,$650.32,$627.89,$605.47,$583.04,$560.62,$538.19,$515.77,$493.34,$470.92,$448.50,$463.44,$478.39,$493.34,$508.29,$523.24,$762.44,$784.87,$807.29,$829.72,$376.74,$609.95,$896.99,"$1,139.18","$1,067.42","$1,067.42"
TEAMGROUP T-Force Delta RGB 32 GB,DDR5-6400,2 x 16GB,10 ns,32,$14.69,Black,4.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,174.97","$1,174.97","$1,135.81","$1,096.64","$1,057.48","$1,018.31",$979.15,$939.98,$900.81,$861.65,$822.48,$783.32,$744.15,$704.99,$677.57,$650.15,$622.74,$595.32,$567.90,$540.49,$513.07,$485.66,$458.24,$430.82,$403.41,$375.99,$364.24,$352.49,$340.74,$328.99,$317.24,$305.49,$293.74,$281.99,$270.24,$258.49,$246.74,$235.00,$242.83,$250.66,$258.49,$266.33,$274.16,$399.49,$411.24,$422.99,$434.74,$197.40,$319.59,$469.99,$596.89,$559.29,$559.29
